------------------------------------------------------------------------------------
Date: 5/26/2025 -- 14:54:21 (uptime: 0d, 00h 00m 06s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 3463943
decoder.bytes                                 | Total                     | 1944576999
decoder.invalid                               | Total                     | 2
decoder.ipv4                                  | Total                     | 3463493
decoder.arp                                   | Total                     | 457
decoder.sll                                   | Total                     | 3463943
decoder.tcp                                   | Total                     | 3410141
tcp.syn                                       | Total                     | 52174
tcp.synack                                    | Total                     | 52174
tcp.rst                                       | Total                     | 20
decoder.udp                                   | Total                     | 52782
decoder.sctp                                  | Total                     | 14
decoder.icmpv4                                | Total                     | 25
decoder.avg_pkt_size                          | Total                     | 561
decoder.max_pkt_size                          | Total                     | 1520
flow.total                                    | Total                     | 36474
flow.tcp                                      | Total                     | 26107
flow.udp                                      | Total                     | 10353
flow.icmpv4                                   | Total                     | 11
flow.tcp_reuse                                | Total                     | 10
flow.wrk.spare_sync_avg                       | Total                     | 97
flow.wrk.spare_sync                           | Total                     | 5627
flow.wrk.spare_sync_incomplete                | Total                     | 67
flow.wrk.spare_sync_empty                     | Total                     | 5447
defrag.ipv4.fragments                         | Total                     | 20
defrag.ipv4.reassembled                       | Total                     | 7
decoder.event.ipv4.trunc_pkt                  | Total                     | 2
decoder.event.ipv4.opt_pad_required           | Total                     | 8
decoder.event.ipv4.frag_pkt_too_large         | Total                     | 4
decoder.event.ipv4.frag_overlap               | Total                     | 1
flow.wrk.flows_evicted_needs_work             | Total                     | 21563
flow.wrk.flows_evicted_pkt_inject             | Total                     | 27386
flow.wrk.flows_evicted                        | Total                     | 16976
flow.wrk.flows_injected                       | Total                     | 21309
flow.wrk.flows_injected_max                   | Total                     | 634
tcp.sessions                                  | Total                     | 26087
tcp.ssn_from_cache                            | Total                     | 12312
tcp.ssn_from_pool                             | Total                     | 13775
tcp.segment_from_cache                        | Total                     | 1450657
tcp.segment_from_pool                         | Total                     | 386498
tcp.stream_depth_reached                      | Total                     | 9
tcp.reassembly_gap                            | Total                     | 47
tcp.overlap                                   | Total                     | 918197
detect.alert                                  | Total                     | 6661
detect.alerts_suppressed                      | Total                     | 1727
app_layer.flow.http                           | Total                     | 3832
app_layer.tx.http                             | Total                     | 6736
app_layer.error.http.parser                   | Total                     | 37
app_layer.flow.ftp                            | Total                     | 951
app_layer.tx.ftp                              | Total                     | 9025
app_layer.error.ftp.parser                    | Total                     | 49
app_layer.flow.smtp                           | Total                     | 1644
app_layer.tx.smtp                             | Total                     | 3273
app_layer.flow.tls                            | Total                     | 15
app_layer.error.tls.parser                    | Total                     | 1
app_layer.flow.ssh                            | Total                     | 685
app_layer.flow.imap                           | Total                     | 859
app_layer.flow.smb                            | Total                     | 437
app_layer.tx.smb                              | Total                     | 890
app_layer.flow.dcerpc_tcp                     | Total                     | 7
app_layer.tx.dcerpc_tcp                       | Total                     | 16
app_layer.flow.dns_tcp                        | Total                     | 2
app_layer.tx.dns_tcp                          | Total                     | 2
app_layer.flow.ftp-data                       | Total                     | 903
app_layer.flow.tftp                           | Total                     | 22
app_layer.tx.tftp                             | Total                     | 12
app_layer.error.tftp.parser                   | Total                     | 32
app_layer.flow.ike                            | Total                     | 2
app_layer.tx.ike                              | Total                     | 10
app_layer.flow.dhcp                           | Total                     | 3
app_layer.tx.dhcp                             | Total                     | 12
app_layer.flow.snmp                           | Total                     | 5
app_layer.tx.snmp                             | Total                     | 4
app_layer.error.snmp.parser                   | Total                     | 6
app_layer.flow.sip                            | Total                     | 15
app_layer.tx.sip                              | Total                     | 30
app_layer.error.sip.parser                    | Total                     | 2
app_layer.flow.rfb                            | Total                     | 4
app_layer.tx.rfb                              | Total                     | 4
app_layer.flow.mqtt                           | Total                     | 1
app_layer.tx.mqtt                             | Total                     | 4
app_layer.error.mqtt.parser                   | Total                     | 1
app_layer.flow.telnet                         | Total                     | 9
app_layer.flow.failed_tcp                     | Total                     | 13697
app_layer.flow.dns_udp                        | Total                     | 6350
app_layer.tx.dns_udp                          | Total                     | 25382
app_layer.flow.failed_udp                     | Total                     | 3956
flow.end.state.new                            | Total                     | 954
flow.end.state.established                    | Total                     | 9752
flow.end.state.closed                         | Total                     | 25768
flow.end.tcp_state.established                | Total                     | 318
flow.end.tcp_state.fin_wait1                  | Total                     | 1
flow.end.tcp_state.closed                     | Total                     | 25768
flow.end.tcp_liberal                          | Total                     | 47
flow.mgr.full_hash_pass                       | Total                     | 68
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 10812
flow.mgr.rows_maxlen                          | Total                     | 4
flow.mgr.flows_checked                        | Total                     | 60638
flow.mgr.flows_notimeout                      | Total                     | 28952
flow.mgr.flows_timeout                        | Total                     | 31686
flow.mgr.flows_evicted                        | Total                     | 32645
flow.mgr.flows_evicted_needs_work             | Total                     | 20309
memcap_pressure                               | Total                     | 9
memcap_pressure_max                           | Total                     | 67
flow.recycler.recycled                        | Total                     | 14735
flow.recycler.queue_avg                       | Total                     | 1
flow.recycler.queue_max                       | Total                     | 2550
tcp.memuse                                    | Total                     | 6225920
tcp.reassembly_memuse                         | Total                     | 1199184
ftp.memuse                                    | Total                     | 989
flow.memuse                                   | Total                     | 13079168
