------------------------------------------------------------------------------------
Date: 5/26/2025 -- 14:55:26 (uptime: 0d, 00h 00m 03s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 1067724
decoder.bytes                                 | Total                     | 578989789
decoder.ipv4                                  | Total                     | 1067579
decoder.arp                                   | Total                     | 145
decoder.sll                                   | Total                     | 1067724
decoder.tcp                                   | Total                     | 1049531
tcp.syn                                       | Total                     | 16672
tcp.synack                                    | Total                     | 16672
tcp.rst                                       | Total                     | 2
decoder.udp                                   | Total                     | 17876
decoder.icmpv4                                | Total                     | 8
decoder.avg_pkt_size                          | Total                     | 542
decoder.max_pkt_size                          | Total                     | 1516
flow.total                                    | Total                     | 11611
flow.tcp                                      | Total                     | 8352
flow.udp                                      | Total                     | 3255
flow.icmpv4                                   | Total                     | 4
flow.tcp_reuse                                | Total                     | 2
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 1525
flow.wrk.spare_sync_empty                     | Total                     | 1425
defrag.ipv4.fragments                         | Total                     | 66
decoder.event.ipv4.opt_pad_required           | Total                     | 2
decoder.event.ipv4.frag_overlap               | Total                     | 49
flow.wrk.flows_evicted_needs_work             | Total                     | 6704
flow.wrk.flows_evicted_pkt_inject             | Total                     | 8142
flow.wrk.flows_evicted                        | Total                     | 187
flow.wrk.flows_injected                       | Total                     | 6599
tcp.sessions                                  | Total                     | 8336
tcp.ssn_from_cache                            | Total                     | 126
tcp.ssn_from_pool                             | Total                     | 8210
tcp.pseudo                                    | Total                     | 2
tcp.segment_from_cache                        | Total                     | 389470
tcp.segment_from_pool                         | Total                     | 178453
tcp.stream_depth_reached                      | Total                     | 2
tcp.reassembly_gap                            | Total                     | 24
tcp.overlap                                   | Total                     | 283847
detect.alert                                  | Total                     | 2788
detect.alerts_suppressed                      | Total                     | 505
app_layer.flow.http                           | Total                     | 1255
app_layer.tx.http                             | Total                     | 2182
app_layer.error.http.parser                   | Total                     | 5
app_layer.flow.ftp                            | Total                     | 322
app_layer.tx.ftp                              | Total                     | 3351
app_layer.error.ftp.parser                    | Total                     | 16
app_layer.flow.smtp                           | Total                     | 520
app_layer.tx.smtp                             | Total                     | 1035
app_layer.error.smtp.parser                   | Total                     | 2
app_layer.flow.ssh                            | Total                     | 295
app_layer.error.ssh.gap                       | Total                     | 1
app_layer.flow.imap                           | Total                     | 270
app_layer.flow.smb                            | Total                     | 178
app_layer.tx.smb                              | Total                     | 384
app_layer.flow.dcerpc_tcp                     | Total                     | 4
app_layer.tx.dcerpc_tcp                       | Total                     | 7
app_layer.error.dcerpc_tcp.parser             | Total                     | 1
app_layer.flow.ftp-data                       | Total                     | 370
app_layer.flow.tftp                           | Total                     | 6
app_layer.tx.tftp                             | Total                     | 10
app_layer.error.tftp.parser                   | Total                     | 2
app_layer.flow.sip                            | Total                     | 6
app_layer.tx.sip                              | Total                     | 12
app_layer.flow.telnet                         | Total                     | 4
app_layer.flow.failed_tcp                     | Total                     | 4524
app_layer.flow.dns_udp                        | Total                     | 2116
app_layer.tx.dns_udp                          | Total                     | 9498
app_layer.flow.krb5_udp                       | Total                     | 1
app_layer.flow.failed_udp                     | Total                     | 1126
flow.end.state.new                            | Total                     | 185
flow.end.state.established                    | Total                     | 3111
flow.end.state.closed                         | Total                     | 8315
flow.end.tcp_state.syn_recv                   | Total                     | 1
flow.end.tcp_state.established                | Total                     | 20
flow.end.tcp_state.closed                     | Total                     | 8315
flow.end.tcp_liberal                          | Total                     | 24
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9700
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 1
flow.mgr.flows_notimeout                      | Total                     | 1
memcap_pressure                               | Total                     | 9
memcap_pressure_max                           | Total                     | 9
flow.recycler.recycled                        | Total                     | 4825
flow.recycler.queue_avg                       | Total                     | 1
flow.recycler.queue_max                       | Total                     | 4174
tcp.memuse                                    | Total                     | 6225920
tcp.reassembly_memuse                         | Total                     | 1199688
ftp.memuse                                    | Total                     | 338
flow.memuse                                   | Total                     | 12044608
