------------------------------------------------------------------------------------
Date: 5/26/2025 -- 14:54:44 (uptime: 0d, 00h 00m 06s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 3601530
decoder.bytes                                 | Total                     | 1942376198
decoder.invalid                               | Total                     | 22
decoder.ipv4                                  | Total                     | 3601058
decoder.ipv6                                  | Total                     | 2
decoder.arp                                   | Total                     | 472
decoder.sll                                   | Total                     | 3601530
decoder.tcp                                   | Total                     | 3536164
tcp.syn                                       | Total                     | 61570
tcp.synack                                    | Total                     | 61566
tcp.rst                                       | Total                     | 2
decoder.udp                                   | Total                     | 63678
decoder.sctp                                  | Total                     | 284
decoder.icmpv4                                | Total                     | 43
decoder.avg_pkt_size                          | Total                     | 539
decoder.max_pkt_size                          | Total                     | 1516
flow.total                                    | Total                     | 41714
flow.tcp                                      | Total                     | 30800
flow.udp                                      | Total                     | 10897
flow.icmpv4                                   | Total                     | 11
flow.tcp_reuse                                | Total                     | 10
flow.wrk.spare_sync_avg                       | Total                     | 97
flow.wrk.spare_sync                           | Total                     | 4288
flow.wrk.spare_sync_incomplete                | Total                     | 81
flow.wrk.spare_sync_empty                     | Total                     | 4093
defrag.ipv4.fragments                         | Total                     | 4
decoder.event.ipv4.opt_invalid_len            | Total                     | 21
decoder.event.ipv4.opt_malformed              | Total                     | 1
decoder.event.ipv4.opt_pad_required           | Total                     | 23
decoder.event.ipv4.frag_overlap               | Total                     | 3
flow.wrk.flows_evicted_needs_work             | Total                     | 25960
flow.wrk.flows_evicted_pkt_inject             | Total                     | 31965
flow.wrk.flows_evicted                        | Total                     | 18863
flow.wrk.flows_injected                       | Total                     | 25782
flow.wrk.flows_injected_max                   | Total                     | 512
tcp.sessions                                  | Total                     | 30778
tcp.ssn_from_cache                            | Total                     | 17446
tcp.ssn_from_pool                             | Total                     | 13332
tcp.segment_from_cache                        | Total                     | 1499298
tcp.segment_from_pool                         | Total                     | 394828
tcp.stream_depth_reached                      | Total                     | 7
tcp.reassembly_gap                            | Total                     | 61
tcp.overlap                                   | Total                     | 946779
detect.alert                                  | Total                     | 9816
detect.alerts_suppressed                      | Total                     | 2121
app_layer.flow.http                           | Total                     | 4559
app_layer.tx.http                             | Total                     | 7480
app_layer.error.http.parser                   | Total                     | 35
app_layer.flow.ftp                            | Total                     | 1078
app_layer.tx.ftp                              | Total                     | 10544
app_layer.error.ftp.parser                    | Total                     | 52
app_layer.flow.smtp                           | Total                     | 1741
app_layer.tx.smtp                             | Total                     | 3465
app_layer.flow.tls                            | Total                     | 3
app_layer.flow.ssh                            | Total                     | 529
app_layer.flow.imap                           | Total                     | 886
app_layer.flow.smb                            | Total                     | 136
app_layer.tx.smb                              | Total                     | 338
app_layer.flow.dcerpc_tcp                     | Total                     | 107
app_layer.tx.dcerpc_tcp                       | Total                     | 85
app_layer.error.dcerpc_tcp.parser             | Total                     | 36
app_layer.flow.dns_tcp                        | Total                     | 3
app_layer.tx.dns_tcp                          | Total                     | 3
app_layer.error.dns_tcp.parser                | Total                     | 1
app_layer.flow.ftp-data                       | Total                     | 1096
app_layer.flow.tftp                           | Total                     | 6
app_layer.tx.tftp                             | Total                     | 4
app_layer.error.tftp.parser                   | Total                     | 8
app_layer.flow.ike                            | Total                     | 2
app_layer.tx.ike                              | Total                     | 4
app_layer.flow.dhcp                           | Total                     | 2
app_layer.tx.dhcp                             | Total                     | 8
app_layer.flow.snmp                           | Total                     | 3
app_layer.error.snmp.parser                   | Total                     | 6
app_layer.flow.sip                            | Total                     | 18
app_layer.tx.sip                              | Total                     | 644
app_layer.error.sip.parser                    | Total                     | 8
app_layer.error.mqtt.parser                   | Total                     | 1
app_layer.flow.telnet                         | Total                     | 3
app_layer.flow.failed_tcp                     | Total                     | 17446
app_layer.flow.dns_udp                        | Total                     | 7217
app_layer.tx.dns_udp                          | Total                     | 33164
app_layer.flow.krb5_udp                       | Total                     | 2
app_layer.flow.failed_udp                     | Total                     | 3647
flow.end.state.new                            | Total                     | 573
flow.end.state.established                    | Total                     | 10781
flow.end.state.closed                         | Total                     | 30360
flow.end.tcp_state.syn_sent                   | Total                     | 1
flow.end.tcp_state.syn_recv                   | Total                     | 1
flow.end.tcp_state.established                | Total                     | 416
flow.end.tcp_state.closed                     | Total                     | 30360
flow.end.tcp_liberal                          | Total                     | 61
flow.mgr.full_hash_pass                       | Total                     | 77
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 10500
flow.mgr.rows_maxlen                          | Total                     | 3
flow.mgr.flows_checked                        | Total                     | 74264
flow.mgr.flows_notimeout                      | Total                     | 37336
flow.mgr.flows_timeout                        | Total                     | 36928
flow.mgr.flows_evicted                        | Total                     | 37696
flow.mgr.flows_evicted_needs_work             | Total                     | 24170
memcap_pressure                               | Total                     | 9
memcap_pressure_max                           | Total                     | 67
flow.recycler.recycled                        | Total                     | 15570
flow.recycler.queue_avg                       | Total                     | 1
flow.recycler.queue_max                       | Total                     | 2321
tcp.memuse                                    | Total                     | 6225920
tcp.reassembly_memuse                         | Total                     | 1205344
ftp.memuse                                    | Total                     | 1129
flow.memuse                                   | Total                     | 13054208
