------------------------------------------------------------------------------------
Date: 5/26/2025 -- 14:54:13 (uptime: 0d, 00h 00m 05s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 3584129
decoder.bytes                                 | Total                     | 1942655174
decoder.invalid                               | Total                     | 3
decoder.ipv4                                  | Total                     | 3583647
decoder.arp                                   | Total                     | 483
decoder.sll                                   | Total                     | 3584129
decoder.tcp                                   | Total                     | 3527270
tcp.syn                                       | Total                     | 61062
tcp.synack                                    | Total                     | 60552
tcp.rst                                       | Total                     | 122
decoder.udp                                   | Total                     | 55578
decoder.sctp                                  | Total                     | 2
decoder.icmpv4                                | Total                     | 64
decoder.gre                                   | Total                     | 2
decoder.avg_pkt_size                          | Total                     | 542
decoder.max_pkt_size                          | Total                     | 1520
flow.total                                    | Total                     | 41137
flow.tcp                                      | Total                     | 30548
flow.udp                                      | Total                     | 10575
flow.icmpv4                                   | Total                     | 13
flow.tcp_reuse                                | Total                     | 3
flow.wrk.spare_sync_avg                       | Total                     | 98
flow.wrk.spare_sync                           | Total                     | 16391
flow.wrk.spare_sync_incomplete                | Total                     | 29
flow.wrk.spare_sync_empty                     | Total                     | 16257
defrag.ipv4.fragments                         | Total                     | 72
defrag.ipv4.reassembled                       | Total                     | 1
decoder.event.ipv4.trunc_pkt                  | Total                     | 3
decoder.event.ipv4.opt_pad_required           | Total                     | 42
decoder.event.ipv4.frag_overlap               | Total                     | 52
flow.wrk.flows_evicted_needs_work             | Total                     | 25571
flow.wrk.flows_evicted_pkt_inject             | Total                     | 33408
flow.wrk.flows_evicted                        | Total                     | 21767
flow.wrk.flows_injected                       | Total                     | 24979
flow.wrk.flows_injected_max                   | Total                     | 821
tcp.sessions                                  | Total                     | 30531
tcp.ssn_from_cache                            | Total                     | 9735
tcp.ssn_from_pool                             | Total                     | 20796
tcp.pseudo                                    | Total                     | 2
tcp.segment_memcap_drop                       | Total                     | 2691
tcp.segment_from_cache                        | Total                     | 1449855
tcp.segment_from_pool                         | Total                     | 431746
tcp.stream_depth_reached                      | Total                     | 7
tcp.reassembly_gap                            | Total                     | 17464
tcp.overlap                                   | Total                     | 871201
tcp.insert_data_normal_fail                   | Total                     | 138483
tcp.insert_data_overlap_fail                  | Total                     | 10
detect.alert                                  | Total                     | 10682
detect.alerts_suppressed                      | Total                     | 1685
app_layer.flow.http                           | Total                     | 4297
app_layer.tx.http                             | Total                     | 6935
app_layer.error.http.parser                   | Total                     | 8
app_layer.flow.ftp                            | Total                     | 816
app_layer.tx.ftp                              | Total                     | 8335
app_layer.error.ftp.parser                    | Total                     | 61
app_layer.flow.smtp                           | Total                     | 1467
app_layer.tx.smtp                             | Total                     | 2919
app_layer.error.smtp.gap                      | Total                     | 2
app_layer.error.smtp.parser                   | Total                     | 2
app_layer.flow.tls                            | Total                     | 1
app_layer.error.tls.parser                    | Total                     | 2
app_layer.flow.ssh                            | Total                     | 1037
app_layer.error.ssh.gap                       | Total                     | 1
app_layer.flow.imap                           | Total                     | 832
app_layer.flow.smb                            | Total                     | 314
app_layer.tx.smb                              | Total                     | 624
app_layer.flow.dcerpc_tcp                     | Total                     | 7
app_layer.tx.dcerpc_tcp                       | Total                     | 14
app_layer.flow.dns_tcp                        | Total                     | 1
app_layer.tx.dns_tcp                          | Total                     | 1
app_layer.flow.ftp-data                       | Total                     | 844
app_layer.flow.tftp                           | Total                     | 15
app_layer.tx.tftp                             | Total                     | 26
app_layer.error.tftp.parser                   | Total                     | 4
app_layer.flow.dhcp                           | Total                     | 2
app_layer.tx.dhcp                             | Total                     | 4
app_layer.flow.snmp                           | Total                     | 3
app_layer.tx.snmp                             | Total                     | 4
app_layer.error.snmp.parser                   | Total                     | 2
app_layer.flow.sip                            | Total                     | 18
app_layer.tx.sip                              | Total                     | 40
app_layer.error.sip.parser                    | Total                     | 8
