------------------------------------------------------------------------------------
Date: 5/26/2025 -- 14:54:54 (uptime: 0d, 00h 00m 06s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 3388055
decoder.bytes                                 | Total                     | 1945792364
decoder.invalid                               | Total                     | 7
decoder.ipv4                                  | Total                     | 3387652
decoder.arp                                   | Total                     | 405
decoder.sll                                   | Total                     | 3388055
decoder.tcp                                   | Total                     | 3331489
tcp.syn                                       | Total                     | 51416
tcp.synack                                    | Total                     | 50718
decoder.udp                                   | Total                     | 55298
decoder.sctp                                  | Total                     | 10
decoder.icmpv4                                | Total                     | 25
decoder.gre                                   | Total                     | 2
decoder.avg_pkt_size                          | Total                     | 574
decoder.max_pkt_size                          | Total                     | 1520
flow.total                                    | Total                     | 36003
flow.tcp                                      | Total                     | 25725
flow.udp                                      | Total                     | 10262
flow.icmpv4                                   | Total                     | 13
flow.tcp_reuse                                | Total                     | 2
flow.wrk.spare_sync_avg                       | Total                     | 98
flow.wrk.spare_sync                           | Total                     | 10639
flow.wrk.spare_sync_incomplete                | Total                     | 40
flow.wrk.spare_sync_empty                     | Total                     | 10487
defrag.ipv4.fragments                         | Total                     | 80
defrag.ipv4.reassembled                       | Total                     | 2
decoder.event.ipv4.trunc_pkt                  | Total                     | 6
decoder.event.ipv4.opt_malformed              | Total                     | 1
decoder.event.ipv4.frag_pkt_too_large         | Total                     | 4
decoder.event.ipv4.frag_overlap               | Total                     | 37
flow.wrk.flows_evicted_needs_work             | Total                     | 20635
flow.wrk.flows_evicted_pkt_inject             | Total                     | 25277
flow.wrk.flows_evicted                        | Total                     | 16648
flow.wrk.flows_injected                       | Total                     | 20282
flow.wrk.flows_injected_max                   | Total                     | 657
tcp.sessions                                  | Total                     | 25708
tcp.ssn_from_cache                            | Total                     | 9117
tcp.ssn_from_pool                             | Total                     | 16591
tcp.pseudo                                    | Total                     | 4
tcp.segment_from_cache                        | Total                     | 1382647
tcp.segment_from_pool                         | Total                     | 416888
tcp.stream_depth_reached                      | Total                     | 8
tcp.reassembly_gap                            | Total                     | 63
tcp.overlap                                   | Total                     | 899480
detect.alert                                  | Total                     | 7857
detect.alerts_suppressed                      | Total                     | 1554
app_layer.flow.http                           | Total                     | 4564
app_layer.tx.http                             | Total                     | 7353
app_layer.error.http.parser                   | Total                     | 4
app_layer.flow.ftp                            | Total                     | 868
app_layer.tx.ftp                              | Total                     | 9088
app_layer.error.ftp.parser                    | Total                     | 38
app_layer.flow.smtp                           | Total                     | 1608
app_layer.tx.smtp                             | Total                     | 3200
app_layer.flow.tls                            | Total                     | 2
app_layer.flow.ssh                            | Total                     | 565
app_layer.flow.imap                           | Total                     | 825
app_layer.flow.smb                            | Total                     | 89
app_layer.tx.smb                              | Total                     | 292
app_layer.flow.dcerpc_tcp                     | Total                     | 3
app_layer.tx.dcerpc_tcp                       | Total                     | 6
app_layer.flow.dns_tcp                        | Total                     | 3
app_layer.tx.dns_tcp                          | Total                     | 4
app_layer.flow.ftp-data                       | Total                     | 994
app_layer.flow.tftp                           | Total                     | 19
app_layer.tx.tftp                             | Total                     | 36
app_layer.error.tftp.parser                   | Total                     | 2
app_layer.flow.dhcp                           | Total                     | 3
app_layer.tx.dhcp                             | Total                     | 6
app_layer.flow.snmp                           | Total                     | 5
app_layer.tx.snmp                             | Total                     | 4
app_layer.error.snmp.parser                   | Total                     | 6
app_layer.flow.sip                            | Total                     | 10
app_layer.tx.sip                              | Total                     | 28
app_layer.error.sip.parser                    | Total                     | 10
app_layer.flow.rfb                            | Total                     | 1
app_layer.tx.rfb                              | Total                     | 1
app_layer.flow.mqtt                           | Total                     | 1
app_layer.tx.mqtt                             | Total                     | 4
app_layer.flow.telnet                         | Total                     | 4
app_layer.flow.rdp                            | Total                     | 1
app_layer.tx.rdp                              | Total                     | 3
app_layer.flow.failed_tcp                     | Total                     | 13712
app_layer.flow.dns_udp                        | Total                     | 6657
app_layer.tx.dns_udp                          | Total                     | 29543
app_layer.flow.krb5_udp                       | Total                     | 1
app_layer.flow.failed_udp                     | Total                     | 3567
flow.end.state.new                            | Total                     | 956
flow.end.state.established                    | Total                     | 9766
flow.end.state.closed                         | Total                     | 25281
flow.end.tcp_state.syn_sent                   | Total                     | 349
flow.end.tcp_state.established                | Total                     | 28
flow.end.tcp_state.close_wait                 | Total                     | 50
flow.end.tcp_state.closed                     | Total                     | 25281
flow.end.tcp_liberal                          | Total                     | 63
flow.mgr.full_hash_pass                       | Total                     | 50
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 10689
flow.mgr.rows_maxlen                          | Total                     | 3
flow.mgr.flows_checked                        | Total                     | 51821
flow.mgr.flows_notimeout                      | Total                     | 21618
flow.mgr.flows_timeout                        | Total                     | 30203
flow.mgr.flows_evicted                        | Total                     | 31797
flow.mgr.flows_evicted_needs_work             | Total                     | 19302
memcap_pressure                               | Total                     | 9
memcap_pressure_max                           | Total                     | 98
flow.recycler.recycled                        | Total                     | 14907
flow.recycler.queue_avg                       | Total                     | 1
flow.recycler.queue_max                       | Total                     | 5976
tcp.memuse                                    | Total                     | 6225920
tcp.reassembly_memuse                         | Total                     | 1206296
ftp.memuse                                    | Total                     | 913
flow.memuse                                   | Total                     | 13022848
