------------------------------------------------------------------------------------
Date: 5/26/2025 -- 14:53:52 (uptime: 0d, 00h 00m 05s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 3532917
decoder.bytes                                 | Total                     | 1943474355
decoder.invalid                               | Total                     | 6
decoder.ipv4                                  | Total                     | 3532416
decoder.ipv6                                  | Total                     | 2
decoder.arp                                   | Total                     | 503
decoder.sll                                   | Total                     | 3532917
decoder.tcp                                   | Total                     | 3471160
tcp.syn                                       | Total                     | 55576
tcp.synack                                    | Total                     | 55446
tcp.rst                                       | Total                     | 4
decoder.udp                                   | Total                     | 60204
decoder.sctp                                  | Total                     | 288
decoder.icmpv4                                | Total                     | 29
decoder.avg_pkt_size                          | Total                     | 550
decoder.max_pkt_size                          | Total                     | 1520
flow.total                                    | Total                     | 38332
flow.tcp                                      | Total                     | 27797
flow.udp                                      | Total                     | 10515
flow.icmpv4                                   | Total                     | 14
flow.tcp_reuse                                | Total                     | 15
flow.wrk.spare_sync_avg                       | Total                     | 98
flow.wrk.spare_sync                           | Total                     | 8301
flow.wrk.spare_sync_incomplete                | Total                     | 54
flow.wrk.spare_sync_empty                     | Total                     | 8140
defrag.ipv4.fragments                         | Total                     | 80
defrag.ipv4.reassembled                       | Total                     | 2
decoder.event.ipv4.trunc_pkt                  | Total                     | 4
decoder.event.ipv4.opt_invalid_len            | Total                     | 1
decoder.event.ipv4.opt_malformed              | Total                     | 1
decoder.event.ipv4.opt_pad_required           | Total                     | 3
decoder.event.ipv4.frag_pkt_too_large         | Total                     | 4
decoder.event.ipv4.frag_overlap               | Total                     | 37
flow.wrk.flows_evicted_needs_work             | Total                     | 22745
flow.wrk.flows_evicted_pkt_inject             | Total                     | 28795
flow.wrk.flows_evicted                        | Total                     | 17382
flow.wrk.flows_injected                       | Total                     | 22480
flow.wrk.flows_injected_max                   | Total                     | 458
tcp.sessions                                  | Total                     | 27783
tcp.ssn_from_cache                            | Total                     | 13106
tcp.ssn_from_pool                             | Total                     | 14677
tcp.pseudo                                    | Total                     | 8
tcp.segment_from_cache                        | Total                     | 1455056
tcp.segment_from_pool                         | Total                     | 416090
tcp.stream_depth_reached                      | Total                     | 6
tcp.reassembly_gap                            | Total                     | 61
tcp.overlap                                   | Total                     | 935232
detect.alert                                  | Total                     | 11136
detect.alerts_suppressed                      | Total                     | 1986
app_layer.flow.http                           | Total                     | 4436
app_layer.tx.http                             | Total                     | 7418
app_layer.error.http.parser                   | Total                     | 30
app_layer.flow.ftp                            | Total                     | 975
app_layer.tx.ftp                              | Total                     | 10269
app_layer.error.ftp.parser                    | Total                     | 43
app_layer.flow.smtp                           | Total                     | 1717
app_layer.tx.smtp                             | Total                     | 3414
app_layer.flow.tls                            | Total                     | 2
app_layer.flow.ssh                            | Total                     | 957
app_layer.error.ssh.gap                       | Total                     | 1
app_layer.flow.imap                           | Total                     | 959
app_layer.flow.smb                            | Total                     | 192
app_layer.tx.smb                              | Total                     | 524
app_layer.flow.dcerpc_tcp                     | Total                     | 7
app_layer.tx.dcerpc_tcp                       | Total                     | 13
app_layer.error.dcerpc_tcp.parser             | Total                     | 3
app_layer.flow.dns_tcp                        | Total                     | 3
app_layer.tx.dns_tcp                          | Total                     | 4
app_layer.flow.ftp-data                       | Total                     | 1110
app_layer.flow.tftp                           | Total                     | 12
app_layer.tx.tftp                             | Total                     | 22
app_layer.error.tftp.parser                   | Total                     | 2
app_layer.flow.dhcp                           | Total                     | 3
app_layer.tx.dhcp                             | Total                     | 10
app_layer.flow.snmp                           | Total                     | 6
app_layer.tx.snmp                             | Total                     | 8
app_layer.error.snmp.parser                   | Total                     | 4
app_layer.flow.sip                            | Total                     | 13
app_layer.tx.sip                              | Total                     | 424
app_layer.error.sip.parser                    | Total                     | 6
app_layer.flow.rfb                            | Total                     | 1
app_layer.tx.rfb                              | Total                     | 1
app_layer.flow.telnet                         | Total                     | 6
app_layer.flow.rdp                            | Total                     | 1
app_layer.tx.rdp                              | Total                     | 3
app_layer.flow.failed_tcp                     | Total                     | 14408
app_layer.flow.dns_udp                        | Total                     | 6928
app_layer.tx.dns_udp                          | Total                     | 32881
app_layer.flow.krb5_udp                       | Total                     | 2
app_layer.tx.krb5_udp                         | Total                     | 2
app_layer.flow.failed_udp                     | Total                     | 3551
flow.end.state.new                            | Total                     | 590
flow.end.state.established                    | Total                     | 10565
flow.end.state.closed                         | Total                     | 27177
flow.end.tcp_state.syn_sent                   | Total                     | 64
flow.end.tcp_state.syn_recv                   | Total                     | 2
flow.end.tcp_state.established                | Total                     | 540
flow.end.tcp_state.closed                     | Total                     | 27177
flow.end.tcp_liberal                          | Total                     | 61
flow.mgr.full_hash_pass                       | Total                     | 64
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 10827
flow.mgr.rows_maxlen                          | Total                     | 4
flow.mgr.flows_checked                        | Total                     | 61513
flow.mgr.flows_notimeout                      | Total                     | 28260
flow.mgr.flows_timeout                        | Total                     | 33253
flow.mgr.flows_evicted                        | Total                     | 34487
flow.mgr.flows_evicted_needs_work             | Total                     | 21438
memcap_pressure                               | Total                     | 9
memcap_pressure_max                           | Total                     | 82
flow.recycler.recycled                        | Total                     | 15242
flow.recycler.queue_avg                       | Total                     | 1
flow.recycler.queue_max                       | Total                     | 4555
tcp.memuse                                    | Total                     | 6225920
tcp.reassembly_memuse                         | Total                     | 1198736
ftp.memuse                                    | Total                     | 1002
flow.memuse                                   | Total                     | 13054208
