------------------------------------------------------------------------------------
Date: 5/26/2025 -- 14:53:37 (uptime: 0d, 00h 00m 06s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 3530922
decoder.bytes                                 | Total                     | 1943505448
decoder.invalid                               | Total                     | 3
decoder.ipv4                                  | Total                     | 3530395
decoder.ipv6                                  | Total                     | 2
decoder.arp                                   | Total                     | 527
decoder.sll                                   | Total                     | 3530922
decoder.tcp                                   | Total                     | 3472349
tcp.syn                                       | Total                     | 56714
tcp.synack                                    | Total                     | 56714
tcp.rst                                       | Total                     | 2
decoder.udp                                   | Total                     | 57034
decoder.sctp                                  | Total                     | 6
decoder.esp                                   | Total                     | 2
decoder.icmpv4                                | Total                     | 26
decoder.gre                                   | Total                     | 2
decoder.avg_pkt_size                          | Total                     | 550
decoder.max_pkt_size                          | Total                     | 1516
flow.total                                    | Total                     | 38699
flow.tcp                                      | Total                     | 28367
flow.udp                                      | Total                     | 10314
flow.icmpv4                                   | Total                     | 13
flow.tcp_reuse                                | Total                     | 15
flow.wrk.spare_sync_avg                       | Total                     | 97
flow.wrk.spare_sync                           | Total                     | 3489
flow.wrk.spare_sync_incomplete                | Total                     | 72
flow.wrk.spare_sync_empty                     | Total                     | 3304
defrag.ipv4.fragments                         | Total                     | 4
decoder.event.ipv4.opt_malformed              | Total                     | 1
decoder.event.ipv4.opt_pad_required           | Total                     | 2
decoder.event.icmpv4.unknown_type             | Total                     | 2
decoder.event.gre.version0_recur              | Total                     | 2
decoder.event.ipv4.frag_overlap               | Total                     | 3
flow.wrk.flows_evicted_needs_work             | Total                     | 23733
flow.wrk.flows_evicted_pkt_inject             | Total                     | 28487
flow.wrk.flows_evicted                        | Total                     | 16864
flow.wrk.flows_injected                       | Total                     | 23598
flow.wrk.flows_injected_max                   | Total                     | 248
tcp.sessions                                  | Total                     | 28357
tcp.ssn_from_cache                            | Total                     | 16217
tcp.ssn_from_pool                             | Total                     | 12140
tcp.segment_from_cache                        | Total                     | 1506022
tcp.segment_from_pool                         | Total                     | 377921
tcp.stream_depth_reached                      | Total                     | 9
tcp.reassembly_gap                            | Total                     | 73
tcp.overlap                                   | Total                     | 941645
detect.alert                                  | Total                     | 6826
detect.alerts_suppressed                      | Total                     | 1747
app_layer.flow.http                           | Total                     | 4060
app_layer.tx.http                             | Total                     | 7355
app_layer.error.http.parser                   | Total                     | 11
app_layer.flow.ftp                            | Total                     | 976
app_layer.tx.ftp                              | Total                     | 9245
app_layer.error.ftp.parser                    | Total                     | 61
app_layer.flow.smtp                           | Total                     | 1701
app_layer.tx.smtp                             | Total                     | 3378
app_layer.error.smtp.parser                   | Total                     | 2
app_layer.flow.tls                            | Total                     | 7
app_layer.flow.ssh                            | Total                     | 362
app_layer.flow.imap                           | Total                     | 929
app_layer.flow.smb                            | Total                     | 20
app_layer.tx.smb                              | Total                     | 107
app_layer.flow.dcerpc_tcp                     | Total                     | 102
app_layer.tx.dcerpc_tcp                       | Total                     | 76
app_layer.error.dcerpc_tcp.parser             | Total                     | 33
app_layer.flow.dns_tcp                        | Total                     | 4
app_layer.tx.dns_tcp                          | Total                     | 6
app_layer.error.dns_tcp.parser                | Total                     | 1
app_layer.flow.ftp-data                       | Total                     | 915
app_layer.flow.tftp                           | Total                     | 11
app_layer.tx.tftp                             | Total                     | 8
app_layer.error.tftp.parser                   | Total                     | 14
app_layer.flow.ike                            | Total                     | 3
app_layer.tx.ike                              | Total                     | 26
app_layer.flow.dhcp                           | Total                     | 2
app_layer.tx.dhcp                             | Total                     | 6
app_layer.flow.snmp                           | Total                     | 5
app_layer.tx.snmp                             | Total                     | 6
app_layer.error.snmp.parser                   | Total                     | 4
app_layer.flow.sip                            | Total                     | 17
app_layer.tx.sip                              | Total                     | 248
app_layer.error.sip.parser                    | Total                     | 8
app_layer.error.rfb.parser                    | Total                     | 1
app_layer.flow.telnet                         | Total                     | 1
app_layer.flow.failed_tcp                     | Total                     | 17114
app_layer.flow.dns_udp                        | Total                     | 6578
app_layer.tx.dns_udp                          | Total                     | 28382
app_layer.flow.failed_udp                     | Total                     | 3698
flow.end.state.new                            | Total                     | 737
flow.end.state.established                    | Total                     | 9620
flow.end.state.closed                         | Total                     | 28342
flow.end.tcp_state.established                | Total                     | 14
flow.end.tcp_state.fin_wait1                  | Total                     | 1
flow.end.tcp_state.closed                     | Total                     | 28342
flow.end.tcp_liberal                          | Total                     | 73
flow.mgr.full_hash_pass                       | Total                     | 81
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 10841
flow.mgr.rows_maxlen                          | Total                     | 3
flow.mgr.flows_checked                        | Total                     | 68205
flow.mgr.flows_notimeout                      | Total                     | 33342
flow.mgr.flows_timeout                        | Total                     | 34863
flow.mgr.flows_evicted                        | Total                     | 35542
flow.mgr.flows_evicted_needs_work             | Total                     | 22608
memcap_pressure                               | Total                     | 9
memcap_pressure_max                           | Total                     | 63
flow.recycler.recycled                        | Total                     | 14783
flow.recycler.queue_avg                       | Total                     | 1
flow.recycler.queue_max                       | Total                     | 2415
tcp.memuse                                    | Total                     | 6225920
tcp.reassembly_memuse                         | Total                     | 1203048
ftp.memuse                                    | Total                     | 1037
flow.memuse                                   | Total                     | 12923008
