------------------------------------------------------------------------------------
Date: 5/26/2025 -- 14:54:34 (uptime: 0d, 00h 00m 06s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 3514238
decoder.bytes                                 | Total                     | 1943773569
decoder.invalid                               | Total                     | 2
decoder.ipv4                                  | Total                     | 3513775
decoder.ipv6                                  | Total                     | 2
decoder.arp                                   | Total                     | 463
decoder.sll                                   | Total                     | 3514238
decoder.tcp                                   | Total                     | 3460764
tcp.syn                                       | Total                     | 52218
tcp.synack                                    | Total                     | 52218
tcp.rst                                       | Total                     | 2
decoder.udp                                   | Total                     | 52362
decoder.sctp                                  | Total                     | 2
decoder.esp                                   | Total                     | 2
decoder.icmpv4                                | Total                     | 23
decoder.gre                                   | Total                     | 2
decoder.avg_pkt_size                          | Total                     | 553
decoder.max_pkt_size                          | Total                     | 1516
flow.total                                    | Total                     | 36395
flow.tcp                                      | Total                     | 26129
flow.udp                                      | Total                     | 10252
flow.icmpv4                                   | Total                     | 11
flow.tcp_reuse                                | Total                     | 8
flow.wrk.spare_sync_avg                       | Total                     | 97
flow.wrk.spare_sync                           | Total                     | 4928
flow.wrk.spare_sync_incomplete                | Total                     | 71
flow.wrk.spare_sync_empty                     | Total                     | 4751
defrag.ipv4.fragments                         | Total                     | 8
decoder.event.ipv4.opt_invalid                | Total                     | 1
decoder.event.ipv4.opt_pad_required           | Total                     | 4
decoder.event.ipv4.opt_eol_required           | Total                     | 1
decoder.event.icmpv4.unknown_type             | Total                     | 2
decoder.event.gre.version0_recur              | Total                     | 2
decoder.event.ipv4.frag_overlap               | Total                     | 5
flow.wrk.flows_evicted_needs_work             | Total                     | 21678
flow.wrk.flows_evicted_pkt_inject             | Total                     | 26521
flow.wrk.flows_evicted                        | Total                     | 16252
flow.wrk.flows_injected                       | Total                     | 21505
flow.wrk.flows_injected_max                   | Total                     | 459
tcp.sessions                                  | Total                     | 26109
tcp.ssn_from_cache                            | Total                     | 13259
tcp.ssn_from_pool                             | Total                     | 12850
tcp.segment_from_cache                        | Total                     | 1492490
tcp.segment_from_pool                         | Total                     | 388739
tcp.stream_depth_reached                      | Total                     | 5
tcp.reassembly_gap                            | Total                     | 58
tcp.overlap                                   | Total                     | 940378
detect.alert                                  | Total                     | 7986
detect.alerts_suppressed                      | Total                     | 1605
app_layer.flow.http                           | Total                     | 4036
app_layer.tx.http                             | Total                     | 7282
app_layer.error.http.parser                   | Total                     | 7
app_layer.flow.ftp                            | Total                     | 877
app_layer.tx.ftp                              | Total                     | 9021
app_layer.error.ftp.parser                    | Total                     | 51
app_layer.flow.smtp                           | Total                     | 1664
app_layer.tx.smtp                             | Total                     | 3307
app_layer.error.smtp.parser                   | Total                     | 2
app_layer.flow.tls                            | Total                     | 7
app_layer.flow.ssh                            | Total                     | 863
app_layer.flow.imap                           | Total                     | 926
app_layer.flow.smb                            | Total                     | 16
app_layer.tx.smb                              | Total                     | 95
app_layer.flow.dcerpc_tcp                     | Total                     | 71
app_layer.tx.dcerpc_tcp                       | Total                     | 75
app_layer.flow.dns_tcp                        | Total                     | 3
app_layer.tx.dns_tcp                          | Total                     | 5
app_layer.flow.ftp-data                       | Total                     | 957
app_layer.flow.tftp                           | Total                     | 10
app_layer.tx.tftp                             | Total                     | 10
app_layer.error.tftp.parser                   | Total                     | 12
app_layer.flow.ike                            | Total                     | 1
app_layer.tx.ike                              | Total                     | 22
app_layer.flow.dhcp                           | Total                     | 2
app_layer.tx.dhcp                             | Total                     | 6
app_layer.flow.snmp                           | Total                     | 4
app_layer.tx.snmp                             | Total                     | 6
app_layer.error.snmp.parser                   | Total                     | 2
app_layer.flow.sip                            | Total                     | 15
app_layer.tx.sip                              | Total                     | 32
app_layer.error.sip.parser                    | Total                     | 6
app_layer.flow.rfb                            | Total                     | 1
app_layer.tx.rfb                              | Total                     | 1
app_layer.error.rfb.parser                    | Total                     | 1
app_layer.flow.telnet                         | Total                     | 3
app_layer.flow.rdp                            | Total                     | 1
app_layer.tx.rdp                              | Total                     | 2
app_layer.flow.failed_tcp                     | Total                     | 14846
app_layer.flow.dns_udp                        | Total                     | 6591
app_layer.tx.dns_udp                          | Total                     | 26358
app_layer.flow.failed_udp                     | Total                     | 3629
flow.end.state.new                            | Total                     | 661
flow.end.state.established                    | Total                     | 9650
flow.end.state.closed                         | Total                     | 26084
flow.end.tcp_state.established                | Total                     | 25
flow.end.tcp_state.closed                     | Total                     | 26084
flow.end.tcp_liberal                          | Total                     | 58
flow.mgr.full_hash_pass                       | Total                     | 72
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 10687
flow.mgr.rows_maxlen                          | Total                     | 3
flow.mgr.flows_checked                        | Total                     | 61563
flow.mgr.flows_notimeout                      | Total                     | 29388
flow.mgr.flows_timeout                        | Total                     | 32175
flow.mgr.flows_evicted                        | Total                     | 32985
flow.mgr.flows_evicted_needs_work             | Total                     | 20516
memcap_pressure                               | Total                     | 9
memcap_pressure_max                           | Total                     | 72
flow.recycler.recycled                        | Total                     | 14495
flow.recycler.queue_avg                       | Total                     | 1
flow.recycler.queue_max                       | Total                     | 2899
tcp.memuse                                    | Total                     | 6225920
tcp.reassembly_memuse                         | Total                     | 1208032
ftp.memuse                                    | Total                     | 902
flow.memuse                                   | Total                     | 12955968
