------------------------------------------------------------------------------------
Date: 5/26/2025 -- 14:52:30 (uptime: 0d, 00h 00m 06s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 3448936
decoder.bytes                                 | Total                     | 1944817053
decoder.invalid                               | Total                     | 2
decoder.ipv4                                  | Total                     | 3448471
decoder.arp                                   | Total                     | 471
decoder.sll                                   | Total                     | 3448936
decoder.tcp                                   | Total                     | 3392840
tcp.syn                                       | Total                     | 54320
tcp.synack                                    | Total                     | 54320
tcp.rst                                       | Total                     | 20
decoder.udp                                   | Total                     | 55000
decoder.sctp                                  | Total                     | 16
decoder.icmpv4                                | Total                     | 26
decoder.avg_pkt_size                          | Total                     | 563
decoder.max_pkt_size                          | Total                     | 1520
flow.total                                    | Total                     | 38010
flow.tcp                                      | Total                     | 27164
flow.udp                                      | Total                     | 10832
flow.icmpv4                                   | Total                     | 11
flow.tcp_reuse                                | Total                     | 6
flow.wrk.spare_sync_avg                       | Total                     | 97
flow.wrk.spare_sync                           | Total                     | 5644
flow.wrk.spare_sync_incomplete                | Total                     | 71
flow.wrk.spare_sync_empty                     | Total                     | 5463
defrag.ipv4.fragments                         | Total                     | 20
defrag.ipv4.reassembled                       | Total                     | 6
decoder.event.ipv4.trunc_pkt                  | Total                     | 2
decoder.event.ipv4.opt_invalid                | Total                     | 1
decoder.event.ipv4.opt_pad_required           | Total                     | 8
decoder.event.ipv4.opt_eol_required           | Total                     | 1
decoder.event.ipv4.frag_pkt_too_large         | Total                     | 2
decoder.event.ipv4.frag_overlap               | Total                     | 3
flow.wrk.flows_evicted_needs_work             | Total                     | 22537
flow.wrk.flows_evicted_pkt_inject             | Total                     | 28610
flow.wrk.flows_evicted                        | Total                     | 17299
flow.wrk.flows_injected                       | Total                     | 22346
flow.wrk.flows_injected_max                   | Total                     | 564
tcp.sessions                                  | Total                     | 27154
tcp.ssn_from_cache                            | Total                     | 13793
tcp.ssn_from_pool                             | Total                     | 13361
tcp.segment_from_cache                        | Total                     | 1453978
tcp.segment_from_pool                         | Total                     | 378020
tcp.stream_depth_reached                      | Total                     | 7
tcp.reassembly_gap                            | Total                     | 66
tcp.overlap                                   | Total                     | 915670
detect.alert                                  | Total                     | 11010
detect.alerts_suppressed                      | Total                     | 1649
app_layer.flow.http                           | Total                     | 4061
app_layer.tx.http                             | Total                     | 7089
app_layer.error.http.parser                   | Total                     | 10
app_layer.flow.ftp                            | Total                     | 943
app_layer.tx.ftp                              | Total                     | 9475
app_layer.error.ftp.parser                    | Total                     | 38
app_layer.flow.smtp                           | Total                     | 1679
app_layer.tx.smtp                             | Total                     | 3345
app_layer.flow.tls                            | Total                     | 17
app_layer.error.tls.parser                    | Total                     | 1
app_layer.flow.ssh                            | Total                     | 861
app_layer.flow.imap                           | Total                     | 854
app_layer.flow.smb                            | Total                     | 104
app_layer.tx.smb                              | Total                     | 222
app_layer.flow.dcerpc_tcp                     | Total                     | 75
app_layer.tx.dcerpc_tcp                       | Total                     | 84
app_layer.flow.dns_tcp                        | Total                     | 2
app_layer.tx.dns_tcp                          | Total                     | 2
app_layer.flow.ftp-data                       | Total                     | 942
app_layer.flow.tftp                           | Total                     | 25
app_layer.tx.tftp                             | Total                     | 16
app_layer.error.tftp.parser                   | Total                     | 36
app_layer.flow.dhcp                           | Total                     | 3
app_layer.tx.dhcp                             | Total                     | 12
app_layer.flow.snmp                           | Total                     | 3
app_layer.tx.snmp                             | Total                     | 4
app_layer.error.snmp.parser                   | Total                     | 2
app_layer.flow.sip                            | Total                     | 21
app_layer.tx.sip                              | Total                     | 42
app_layer.error.sip.parser                    | Total                     | 4
app_layer.flow.rfb                            | Total                     | 5
app_layer.tx.rfb                              | Total                     | 5
app_layer.flow.mqtt                           | Total                     | 1
app_layer.tx.mqtt                             | Total                     | 4
app_layer.flow.telnet                         | Total                     | 9
app_layer.flow.rdp                            | Total                     | 1
app_layer.tx.rdp                              | Total                     | 2
app_layer.flow.failed_tcp                     | Total                     | 14561
app_layer.flow.dns_udp                        | Total                     | 6632
app_layer.tx.dns_udp                          | Total                     | 26524
app_layer.flow.failed_udp                     | Total                     | 4148
flow.end.state.new                            | Total                     | 1001
flow.end.state.established                    | Total                     | 10352
flow.end.state.closed                         | Total                     | 26657
flow.end.tcp_state.established                | Total                     | 496
flow.end.tcp_state.fin_wait1                  | Total                     | 1
flow.end.tcp_state.closed                     | Total                     | 26657
flow.end.tcp_liberal                          | Total                     | 66
flow.mgr.full_hash_pass                       | Total                     | 71
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 10813
flow.mgr.rows_maxlen                          | Total                     | 4
flow.mgr.flows_checked                        | Total                     | 64334
flow.mgr.flows_notimeout                      | Total                     | 30887
flow.mgr.flows_timeout                        | Total                     | 33447
flow.mgr.flows_evicted                        | Total                     | 34326
flow.mgr.flows_evicted_needs_work             | Total                     | 21405
memcap_pressure                               | Total                     | 9
memcap_pressure_max                           | Total                     | 69
flow.recycler.recycled                        | Total                     | 15215
flow.recycler.queue_avg                       | Total                     | 1
flow.recycler.queue_max                       | Total                     | 2666
tcp.memuse                                    | Total                     | 6225920
tcp.reassembly_memuse                         | Total                     | 1196944
ftp.memuse                                    | Total                     | 1042
flow.memuse                                   | Total                     | 13067008
