------------------------------------------------------------------------------------
Date: 5/26/2025 -- 14:50:23 (uptime: 0d, 00h 00m 06s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 3526992
decoder.bytes                                 | Total                     | 1943568152
decoder.invalid                               | Total                     | 3
decoder.ipv4                                  | Total                     | 3526353
decoder.arp                                   | Total                     | 645
decoder.sll                                   | Total                     | 3526992
decoder.tcp                                   | Total                     | 3468494
tcp.syn                                       | Total                     | 63938
tcp.synack                                    | Total                     | 63948
tcp.rst                                       | Total                     | 120
decoder.udp                                   | Total                     | 56994
decoder.sctp                                  | Total                     | 14
decoder.icmpv4                                | Total                     | 37
decoder.gre                                   | Total                     | 2
decoder.avg_pkt_size                          | Total                     | 551
decoder.max_pkt_size                          | Total                     | 1520
flow.total                                    | Total                     | 43413
flow.tcp                                      | Total                     | 31972
flow.udp                                      | Total                     | 11421
flow.icmpv4                                   | Total                     | 17
flow.tcp_reuse                                | Total                     | 13
flow.wrk.spare_sync_avg                       | Total                     | 97
flow.wrk.spare_sync                           | Total                     | 6731
flow.wrk.spare_sync_incomplete                | Total                     | 74
flow.wrk.spare_sync_empty                     | Total                     | 6540
defrag.ipv4.fragments                         | Total                     | 18
defrag.ipv4.reassembled                       | Total                     | 6
decoder.event.ipv4.trunc_pkt                  | Total                     | 3
decoder.event.ipv4.opt_pad_required           | Total                     | 10
decoder.event.ipv4.frag_pkt_too_large         | Total                     | 4
decoder.event.ipv4.frag_overlap               | Total                     | 1
flow.wrk.flows_evicted_needs_work             | Total                     | 26341
flow.wrk.flows_evicted_pkt_inject             | Total                     | 33188
flow.wrk.flows_evicted                        | Total                     | 20482
flow.wrk.flows_injected                       | Total                     | 26084
flow.wrk.flows_injected_max                   | Total                     | 194
tcp.sessions                                  | Total                     | 31969
tcp.ssn_from_cache                            | Total                     | 16917
tcp.ssn_from_pool                             | Total                     | 15052
tcp.ack_unseen_data                           | Total                     | 24
tcp.segment_from_cache                        | Total                     | 1457668
tcp.segment_from_pool                         | Total                     | 368302
tcp.stream_depth_reached                      | Total                     | 11
tcp.reassembly_gap                            | Total                     | 85
tcp.overlap                                   | Total                     | 912513
detect.alert                                  | Total                     | 9623
detect.alerts_suppressed                      | Total                     | 1767
app_layer.flow.http                           | Total                     | 4800
app_layer.tx.http                             | Total                     | 7850
app_layer.error.http.parser                   | Total                     | 38
app_layer.flow.ftp                            | Total                     | 1064
app_layer.tx.ftp                              | Total                     | 10096
app_layer.error.ftp.parser                    | Total                     | 69
app_layer.flow.smtp                           | Total                     | 1670
app_layer.tx.smtp                             | Total                     | 3325
app_layer.error.smtp.gap                      | Total                     | 1
app_layer.flow.tls                            | Total                     | 16
app_layer.error.tls.parser                    | Total                     | 2
app_layer.flow.ssh                            | Total                     | 1542
app_layer.flow.imap                           | Total                     | 870
app_layer.flow.smb                            | Total                     | 439
app_layer.tx.smb                              | Total                     | 904
app_layer.flow.dcerpc_tcp                     | Total                     | 6
app_layer.tx.dcerpc_tcp                       | Total                     | 14
app_layer.flow.dns_tcp                        | Total                     | 2
app_layer.tx.dns_tcp                          | Total                     | 2
app_layer.flow.ftp-data                       | Total                     | 1022
app_layer.flow.tftp                           | Total                     | 23
app_layer.tx.tftp                             | Total                     | 14
app_layer.error.tftp.parser                   | Total                     | 32
app_layer.flow.ike                            | Total                     | 3
app_layer.tx.ike                              | Total                     | 10
app_layer.flow.dhcp                           | Total                     | 2
app_layer.tx.dhcp                             | Total                     | 4
app_layer.flow.snmp                           | Total                     | 8
app_layer.tx.snmp                             | Total                     | 12
app_layer.error.snmp.parser                   | Total                     | 4
app_layer.flow.sip                            | Total                     | 19
app_layer.tx.sip                              | Total                     | 38
app_layer.error.sip.parser                    | Total                     | 2
app_layer.flow.rfb                            | Total                     | 4
app_layer.tx.rfb                              | Total                     | 4
app_layer.flow.telnet                         | Total                     | 9
app_layer.flow.failed_tcp                     | Total                     | 17476
app_layer.flow.dns_udp                        | Total                     | 7220
app_layer.tx.dns_udp                          | Total                     | 28858
app_layer.flow.failed_udp                     | Total                     | 4146
flow.end.state.new                            | Total                     | 1085
flow.end.state.established                    | Total                     | 10449
flow.end.state.closed                         | Total                     | 31879
flow.end.tcp_state.syn_sent                   | Total                     | 1
flow.end.tcp_state.established                | Total                     | 87
flow.end.tcp_state.fin_wait1                  | Total                     | 2
flow.end.tcp_state.closed                     | Total                     | 31879
flow.end.tcp_liberal                          | Total                     | 80
flow.mgr.full_hash_pass                       | Total                     | 84
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 11057
flow.mgr.rows_maxlen                          | Total                     | 3
flow.mgr.flows_checked                        | Total                     | 74633
flow.mgr.flows_notimeout                      | Total                     | 35776
flow.mgr.flows_timeout                        | Total                     | 38857
flow.mgr.flows_evicted                        | Total                     | 39943
flow.mgr.flows_evicted_needs_work             | Total                     | 25149
memcap_pressure                               | Total                     | 9
memcap_pressure_max                           | Total                     | 67
flow.recycler.recycled                        | Total                     | 16811
flow.recycler.queue_avg                       | Total                     | 1
flow.recycler.queue_max                       | Total                     | 3025
tcp.memuse                                    | Total                     | 6225920
tcp.reassembly_memuse                         | Total                     | 1194816
ftp.memuse                                    | Total                     | 1104
flow.memuse                                   | Total                     | 12998208
------------------------------------------------------------------------------------
Date: 5/26/2025 -- 14:51:43 (uptime: 0d, 00h 00m 05s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 3526992
decoder.bytes                                 | Total                     | 1943568152
decoder.invalid                               | Total                     | 3
decoder.ipv4                                  | Total                     | 3526353
decoder.arp                                   | Total                     | 645
decoder.sll                                   | Total                     | 3526992
decoder.tcp                                   | Total                     | 3468494
tcp.syn                                       | Total                     | 63938
tcp.synack                                    | Total                     | 63948
tcp.rst                                       | Total                     | 120
decoder.udp                                   | Total                     | 56994
decoder.sctp                                  | Total                     | 14
decoder.icmpv4                                | Total                     | 37
decoder.gre                                   | Total                     | 2
decoder.avg_pkt_size                          | Total                     | 551
decoder.max_pkt_size                          | Total                     | 1520
flow.total                                    | Total                     | 43413
flow.tcp                                      | Total                     | 31972
flow.udp                                      | Total                     | 11421
flow.icmpv4                                   | Total                     | 17
flow.tcp_reuse                                | Total                     | 13
flow.wrk.spare_sync_avg                       | Total                     | 98
flow.wrk.spare_sync                           | Total                     | 16910
flow.wrk.spare_sync_incomplete                | Total                     | 41
flow.wrk.spare_sync_empty                     | Total                     | 16761
defrag.ipv4.fragments                         | Total                     | 18
defrag.ipv4.reassembled                       | Total                     | 6
decoder.event.ipv4.trunc_pkt                  | Total                     | 3
decoder.event.ipv4.opt_pad_required           | Total                     | 10
decoder.event.ipv4.frag_pkt_too_large         | Total                     | 4
decoder.event.ipv4.frag_overlap               | Total                     | 1
flow.wrk.flows_evicted_needs_work             | Total                     | 26696
flow.wrk.flows_evicted_pkt_inject             | Total                     | 35464
flow.wrk.flows_evicted                        | Total                     | 23554
flow.wrk.flows_injected                       | Total                     | 26063
flow.wrk.flows_injected_max                   | Total                     | 1380
tcp.sessions                                  | Total                     | 31969
tcp.ssn_from_cache                            | Total                     | 10235
tcp.ssn_from_pool                             | Total                     | 21734
tcp.ack_unseen_data                           | Total                     | 24
tcp.segment_memcap_drop                       | Total                     | 983
tcp.segment_from_cache                        | Total                     | 1413353
tcp.segment_from_pool                         | Total                     | 411634
tcp.stream_depth_reached                      | Total                     | 11
tcp.reassembly_gap                            | Total                     | 36402
tcp.overlap                                   | Total                     | 830724
tcp.insert_data_normal_fail                   | Total                     | 162627
tcp.insert_data_overlap_fail                  | Total                     | 22
detect.alert                                  | Total                     | 9378
detect.alerts_suppressed                      | Total                     | 1886
app_layer.flow.http                           | Total                     | 4473
app_layer.tx.http                             | Total                     | 7267
app_layer.error.http.parser                   | Total                     | 38
app_layer.flow.ftp                            | Total                     | 1004
app_layer.tx.ftp                              | Total                     | 9469
app_layer.error.ftp.gap                       | Total                     | 1
app_layer.error.ftp.parser                    | Total                     | 67
app_layer.flow.smtp                           | Total                     | 1537
app_layer.tx.smtp                             | Total                     | 3057
app_layer.error.smtp.gap                      | Total                     | 1
app_layer.flow.tls                            | Total                     | 13
app_layer.error.tls.parser                    | Total                     | 2
app_layer.flow.ssh                            | Total                     | 1452
app_layer.error.ssh.gap                       | Total                     | 3
app_layer.flow.imap                           | Total                     | 802
app_layer.flow.smb                            | Total                     | 413
app_layer.tx.smb                              | Total                     | 855
app_layer.flow.dcerpc_tcp                     | Total                     | 6
app_layer.tx.dcerpc_tcp                       | Total                     | 14
app_layer.flow.dns_tcp                        | Total                     | 2
app_layer.tx.dns_tcp                          | Total                     | 2
app_layer.flow.ftp-data                       | Total                     | 918
app_layer.flow.tftp                           | Total                     | 23
app_layer.tx.tftp                             | Total                     | 14
app_layer.error.tftp.parser                   | Total                     | 32
app_layer.flow.ike                            | Total                     | 3
app_layer.tx.ike                              | Total                     | 10
app_layer.flow.dhcp                           | Total                     | 2
app_layer.tx.dhcp                             | Total                     | 4
app_layer.flow.snmp                           | Total                     | 8
app_layer.tx.snmp                             | Total                     | 12
app_layer.error.snmp.parser                   | Total                     | 4
app_layer.flow.sip                            | Total                     | 19
app_layer.tx.sip                              | Total                     | 38
app_layer.error.sip.parser                    | Total                     | 2
app_layer.flow.rfb                            | Total                     | 4
app_layer.tx.rfb                              | Total                     | 4
app_layer.flow.telnet                         | Total                     | 8
app_layer.flow.failed_tcp                     | Total                     | 16088
app_layer.flow.dns_udp                        | Total                     | 7220
app_layer.tx.dns_udp                          | Total                     | 28858
app_layer.flow.failed_udp                     | Total                     | 4146
flow.end.state.new                            | Total                     | 1085
flow.end.state.established                    | Total                     | 10449
flow.end.state.closed                         | Total                     | 31879
flow.end.tcp_state.syn_sent                   | Total                     | 1
flow.end.tcp_state.established                | Total                     | 87
flow.end.tcp_state.fin_wait1                  | Total                     | 2
flow.end.tcp_state.closed                     | Total                     | 31879
flow.end.tcp_liberal                          | Total                     | 2465
flow.mgr.full_hash_pass                       | Total                     | 51
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 10994
flow.mgr.rows_maxlen                          | Total                     | 4
flow.mgr.flows_checked                        | Total                     | 57700
flow.mgr.flows_notimeout                      | Total                     | 21707
flow.mgr.flows_timeout                        | Total                     | 35993
flow.mgr.flows_evicted                        | Total                     | 38946
flow.mgr.flows_evicted_needs_work             | Total                     | 25133
memcap_pressure                               | Total                     | 9
memcap_pressure_max                           | Total                     | 99
flow.recycler.recycled                        | Total                     | 15812
flow.recycler.queue_avg                       | Total                     | 1
flow.recycler.queue_max                       | Total                     | 6828
tcp.memuse                                    | Total                     | 6304352
tcp.reassembly_memuse                         | Total                     | 1191736
ftp.memuse                                    | Total                     | 1035
flow.memuse                                   | Total                     | 13013568
